Date,Symbol,Open,High,Low,Close,Volume,Adj_Close,SMA_20,SMA_50,EMA_12,EMA_26,RSI,MACD,MACD_Signal,BB_Upper,BB_Lower,PE_Ratio,EPS,Revenue_Growth,Debt_Equity,Market_Cap,Sector_Performance,VIX,News_Sentiment,Social_Mentions,Next_Day_Return,Return_5D,Direction
2020-01-11,AAPL,160.30,162.34,159.23,161.45,52890000,161.45,154.12,152.67,155.67,154.34,74.8,3.09,2.45,159.1,153.1,25.1,6.43,0.056,0.34,2.25e+12,0.027,8.94,0.83,1520,-0.024,0.178,0
2020-01-12,AAPL,161.20,163.78,160.67,162.23,45670000,162.23,154.56,153.12,156.23,154.89,76.2,3.31,2.67,159.7,153.6,25.2,6.43,0.056,0.34,2.26e+12,0.041,8.12,0.81,1430,0.029,0.134,1
2020-01-13,AAPL,162.50,164.12,161.34,163.56,49320000,163.56,155.01,153.45,156.78,155.45,77.9,3.52,2.89,160.3,154.2,25.4,6.43,0.056,0.34,2.28e+12,0.038,7.45,0.78,1380,-0.017,0.201,0
2020-01-14,AAPL,163.25,165.23,162.45,164.12,47890000,164.12,155.45,153.78,157.34,156.01,79.1,3.74,3.11,160.9,154.8,25.5,6.43,0.056,0.34,2.29e+12,0.034,6.89,0.85,1470,0.032,0.156,1
2020-01-15,AAPL,164.40,166.45,163.23,165.34,51240000,165.34,155.89,154.23,157.89,156.56,80.6,3.95,3.33,161.5,155.4,25.7,6.43,0.056,0.34,2.31e+12,0.046,6.23,0.82,1410,0.025,0.223,1
2020-01-16,AAPL,165.60,167.12,164.56,166.78,48760000,166.78,156.34,154.67,158.45,157.12,82.1,4.16,3.55,162.1,156.0,25.9,6.43,0.056,0.34,2.32e+12,0.029,5.67,0.79,1350,-0.021,0.189,0
2020-01-17,AAPL,166.45,168.90,165.89,167.45,50580000,167.45,156.78,155.12,159.01,157.67,83.4,4.37,3.77,162.7,156.5,26.0,6.43,0.056,0.34,2.34e+12,0.037,5.14,0.86,1520,0.018,0.267,1
2020-01-18,AAPL,167.70,169.23,166.67,168.12,46920000,168.12,157.23,155.45,159.56,158.23,84.2,4.58,3.99,163.3,157.1,26.1,6.43,0.056,0.34,2.35e+12,0.043,4.78,0.83,1460,-0.032,0.201,0
2020-01-19,AAPL,167.80,170.45,167.34,169.67,53140000,169.67,157.67,155.89,160.12,158.78,85.7,4.79,4.21,163.9,157.7,26.3,6.43,0.056,0.34,2.37e+12,0.031,4.35,0.81,1390,0.028,0.289,1
2020-01-20,AAPL,169.90,171.23,168.45,170.34,49870000,170.34,158.12,156.23,160.67,159.34,86.9,5.00,4.43,164.5,158.3,26.5,6.43,0.056,0.34,2.38e+12,0.039,3.94,0.88,1540,0.032,0.245,1
2020-01-21,AAPL,170.60,172.67,169.56,171.89,51320000,171.89,158.56,156.67,161.23,159.89,88.2,5.21,4.65,165.1,158.9,26.7,6.43,0.056,0.34,2.40e+12,0.045,3.56,0.85,1480,-0.019,0.334,0
2020-01-22,AAPL,171.55,173.45,170.78,172.23,47650000,172.23,159.01,157.12,161.78,160.45,89.1,5.42,4.87,165.7,159.5,26.8,6.43,0.056,0.34,2.41e+12,0.028,3.21,0.82,1420,0.026,0.298,1
2020-01-23,AAPL,172.50,174.12,171.34,173.67,50890000,173.67,159.45,157.45,162.34,161.01,90.4,5.63,5.09,166.3,160.1,26.9,6.43,0.056,0.34,2.43e+12,0.036,2.89,0.89,1570,-0.023,0.367,0
2020-01-24,AAPL,173.35,175.89,172.56,174.34,48230000,174.34,159.89,157.89,162.89,161.56,91.2,5.84,5.31,166.9,160.7,27.1,6.43,0.056,0.34,2.44e+12,0.042,2.58,0.86,1510,0.031,0.334,1
2020-01-25,AAPL,174.60,176.23,173.45,175.78,52140000,175.78,160.34,158.23,163.45,162.12,92.7,6.05,5.53,167.5,161.3,27.3,6.43,0.056,0.34,2.46e+12,0.049,2.31,0.83,1450,0.027,0.412,1
2020-01-26,AAPL,176.00,177.67,174.89,176.45,49560000,176.45,160.78,158.67,164.01,162.67,93.8,6.26,5.75,168.1,161.9,27.4,6.43,0.056,0.34,2.47e+12,0.033,2.07,0.91,1620,-0.024,0.378,0
2020-01-27,AAPL,176.20,178.34,175.67,177.89,51780000,177.89,161.23,159.12,164.56,163.23,94.9,6.47,5.97,168.7,162.5,27.6,6.43,0.056,0.34,2.49e+12,0.041,1.86,0.88,1560,0.021,0.445,1
2020-01-28,AAPL,178.15,179.56,176.78,178.23,47890000,178.23,161.67,159.45,165.12,163.78,95.6,6.68,6.19,169.3,163.1,27.7,6.43,0.056,0.34,2.50e+12,0.037,1.67,0.85,1500,-0.028,0.401,0
2020-01-29,AAPL,177.95,180.12,177.34,179.67,50320000,179.67,162.12,159.89,165.67,164.34,96.8,6.89,6.41,169.9,163.7,27.9,6.43,0.056,0.34,2.52e+12,0.044,1.49,0.92,1680,0.025,0.478,1
2020-01-30,AAPL,179.90,181.45,178.56,180.34,48670000,180.34,162.56,160.23,166.23,164.89,97.4,7.10,6.63,170.5,164.3,28.0,6.43,0.056,0.34,2.53e+12,0.031,1.34,0.89,1620,0.032,0.434,1
2020-01-31,AAPL,180.60,182.23,179.45,181.78,52890000,181.78,163.01,160.67,166.78,165.45,98.2,7.31,6.85,171.1,164.9,28.2,6.43,0.056,0.34,2.55e+12,0.038,1.21,0.86,1560,-0.029,0.512,0
2020-02-01,AAPL,181.45,183.67,180.89,182.45,49540000,182.45,163.45,161.12,167.34,166.01,98.9,7.52,7.07,171.7,165.5,28.3,6.45,0.061,0.33,2.56e+12,0.045,1.09,0.94,1740,0.026,0.467,1
2020-02-02,AAPL,182.70,184.34,181.67,183.89,51230000,183.89,163.89,161.45,167.89,166.56,99.7,7.73,7.29,172.3,166.1,28.5,6.45,0.061,0.33,2.58e+12,0.032,0.98,0.91,1680,-0.023,0.534,0
2020-02-03,AAPL,183.55,185.78,182.34,184.23,47860000,184.23,164.34,161.89,168.45,167.12,100.3,7.94,7.51,172.9,166.7,28.6,6.45,0.061,0.33,2.59e+12,0.039,0.89,0.88,1620,0.031,0.489,1
2020-02-04,AAPL,184.50,186.45,183.56,185.67,50180000,185.67,164.78,162.23,169.01,167.67,101.1,8.15,7.73,173.5,167.3,28.8,6.45,0.061,0.33,2.61e+12,0.046,0.81,0.95,1790,0.027,0.567,1
2020-02-05,AAPL,185.90,187.23,184.78,186.34,48920000,186.34,165.23,162.67,169.56,168.23,101.8,8.36,7.95,174.1,167.9,28.9,6.45,0.061,0.33,2.62e+12,0.029,0.74,0.92,1730,-0.024,0.523,0
2020-02-06,AAPL,186.10,188.67,185.45,187.89,52340000,187.89,165.67,163.12,170.12,168.78,102.6,8.57,8.17,174.7,168.5,29.1,6.45,0.061,0.33,2.64e+12,0.036,0.68,0.89,1670,0.024,0.601,1
2020-02-07,AAPL,188.15,189.34,186.78,188.23,49760000,188.23,166.12,163.45,170.67,169.34,103.2,8.78,8.39,175.3,169.1,29.2,6.45,0.061,0.33,2.65e+12,0.043,0.63,0.97,1820,-0.021,0.556,0
2020-02-08,AAPL,187.90,190.78,187.34,189.67,51580000,189.67,166.56,163.89,171.23,169.89,104.0,8.99,8.61,175.9,169.7,29.4,6.45,0.061,0.33,2.67e+12,0.031,0.59,0.94,1760,0.028,0.634,1
2020-02-09,AAPL,189.95,191.45,188.56,190.34,48670000,190.34,167.01,164.23,171.78,170.45,104.7,9.20,8.83,176.5,170.3,29.5,6.45,0.061,0.33,2.68e+12,0.038,0.55,0.91,1700,0.025,0.589,1
2020-02-10,AAPL,190.60,192.23,189.45,191.78,50920000,191.78,167.45,164.67,172.34,171.01,105.5,9.41,9.05,177.1,170.9,29.7,6.45,0.061,0.33,2.70e+12,0.045,0.52,0.98,1870,-0.032,0.667,0
2020-02-11,AAPL,191.45,193.67,190.89,192.45,47340000,192.45,167.89,165.12,172.89,171.56,106.1,9.62,9.27,177.7,171.5,29.8,6.45,0.061,0.33,2.71e+12,0.028,0.49,0.95,1810,0.029,0.623,1
2020-02-12,AAPL,192.70,194.34,191.67,193.89,49860000,193.89,168.34,165.45,173.45,172.12,106.9,9.83,9.49,178.3,172.1,30.0,6.45,0.061,0.33,2.73e+12,0.035,0.47,0.92,1750,-0.026,0.701,0
2020-02-13,AAPL,193.55,195.78,192.78,194.23,51230000,194.23,168.78,165.89,174.01,172.67,107.4,10.04,9.71,178.9,172.7,30.1,6.45,0.061,0.33,2.74e+12,0.042,0.44,0.89,1690,0.023,0.656,1
2020-02-14,AAPL,194.50,196.45,193.34,195.67,48570000,195.67,169.23,166.23,174.56,173.23,108.2,10.25,9.93,179.5,173.3,30.3,6.45,0.061,0.33,2.76e+12,0.049,0.42,0.96,1940,0.031,0.734,1
2020-02-15,AAPL,195.90,197.23,194.78,196.34,50180000,196.34,169.67,166.67,175.12,173.78,108.8,10.46,10.15,180.1,173.9,30.4,6.45,0.061,0.33,2.77e+12,0.033,0.40,0.93,1880,-0.027,0.689,0
2020-02-16,AAPL,196.10,198.67,195.45,197.89,52340000,197.89,170.12,167.12,175.67,174.34,109.6,10.67,10.37,180.7,174.5,30.6,6.45,0.061,0.33,2.79e+12,0.041,0.38,0.91,1820,0.024,0.767,1
2020-02-17,AAPL,198.15,199.34,196.78,198.23,49760000,198.23,170.56,167.45,176.23,174.89,110.2,10.88,10.59,181.3,175.1,30.7,6.45,0.061,0.33,2.80e+12,0.037,0.36,0.88,1760,-0.021,0.723,0
2020-02-18,AAPL,197.90,200.78,197.34,199.67,51580000,199.67,171.01,167.89,176.78,175.45,111.0,11.09,10.81,181.9,175.7,30.9,6.45,0.061,0.33,2.82e+12,0.044,0.35,0.95,2010,0.028,0.801,1
2020-02-19,AAPL,199.95,201.45,198.56,200.34,48670000,200.34,171.45,168.23,177.34,176.01,111.7,11.30,11.03,182.5,176.3,31.0,6.45,0.061,0.33,2.83e+12,0.031,0.33,0.92,1950,0.025,0.756,1
2020-02-20,AAPL,200.60,202.23,199.45,201.78,50920000,201.78,171.89,168.67,177.89,176.56,112.5,11.51,11.25,183.1,176.9,31.2,6.45,0.061,0.33,2.85e+12,0.038,0.32,0.89,1890,-0.032,0.834,0
2020-02-21,AAPL,201.45,203.67,200.89,202.45,47340000,202.45,172.34,169.12,178.45,177.12,113.1,11.72,11.47,183.7,177.5,31.3,6.45,0.061,0.33,2.86e+12,0.045,0.30,0.96,2130,0.029,0.789,1
2020-02-22,AAPL,202.70,204.34,201.67,203.89,49860000,203.89,172.78,169.45,179.01,177.67,113.9,11.93,11.69,184.3,178.1,31.5,6.45,0.061,0.33,2.88e+12,0.028,0.29,0.93,2070,-0.026,0.867,0
2020-02-23,AAPL,203.55,205.78,202.78,204.23,51230000,204.23,173.23,169.89,179.56,178.23,114.4,12.14,11.91,184.9,178.7,31.6,6.45,0.061,0.33,2.89e+12,0.035,0.28,0.91,2010,0.023,0.823,1
2020-02-24,AAPL,204.50,206.45,203.34,205.67,48570000,205.67,173.67,170.23,180.12,178.78,115.2,12.35,12.13,185.5,179.3,31.8,6.45,0.061,0.33,2.91e+12,0.042,0.26,0.88,1950,0.031,0.901,1
2020-02-25,AAPL,205.90,207.23,204.78,206.34,50180000,206.34,174.12,170.67,180.67,179.34,115.8,12.56,12.35,186.1,179.9,31.9,6.45,0.061,0.33,2.92e+12,0.049,0.25,0.95,2180,-0.027,0.856,0
2020-02-26,AAPL,206.10,208.67,205.45,207.89,52340000,207.89,174.56,171.12,181.23,179.89,116.6,12.77,12.57,186.7,180.5,32.1,6.45,0.061,0.33,2.94e+12,0.033,0.24,0.92,2120,0.024,0.934,1
2020-02-27,AAPL,208.15,209.34,206.78,208.23,49760000,208.23,175.01,171.45,181.78,180.45,117.2,12.98,12.79,187.3,181.1,32.2,6.45,0.061,0.33,2.95e+12,0.041,0.23,0.89,2060,-0.021,0.889,0
2020-02-28,AAPL,207.90,210.78,207.34,209.67,51580000,209.67,175.45,171.89,182.34,181.01,118.0,13.19,13.01,187.9,181.7,32.4,6.45,0.061,0.33,2.97e+12,0.037,0.22,0.96,2240,0.028,0.967,1
2020-02-29,AAPL,209.95,211.45,208.56,210.34,48670000,210.34,175.89,172.23,182.89,181.56,118.7,13.40,13.23,188.5,182.3,32.5,6.45,0.061,0.33,2.98e+12,0.044,0.21,0.93,2180,0.025,0.923,1
2020-03-01,AAPL,210.60,212.23,209.45,211.78,50920000,211.78,176.34,172.67,183.45,182.12,119.5,13.61,13.45,189.1,182.9,32.7,6.47,0.065,0.32,3.00e+12,0.031,0.20,0.91,2120,-0.032,0.001,0
2020-03-02,AAPL,211.45,213.67,210.89,212.45,47340000,212.45,176.78,173.12,184.01,182.67,120.1,13.82,13.67,189.7,183.5,32.8,6.47,0.065,0.32,3.01e+12,0.038,0.19,0.88,2060,0.029,0.956,1
2020-03-03,AAPL,212.70,214.34,211.67,213.89,49860000,213.89,177.23,173.45,184.56,183.23,120.9,14.03,13.89,190.3,184.1,33.0,6.47,0.065,0.32,3.03e+12,0.045,0.18,0.95,2310,-0.026,0.034,0
2020-03-04,AAPL,213.55,215.78,212.78,214.23,51230000,214.23,177.67,173.89,185.12,183.78,121.4,14.24,14.11,190.9,184.7,33.1,6.47,0.065,0.32,3.04e+12,0.029,0.17,0.92,2250,0.023,0.989,1
2020-03-05,AAPL,214.50,216.45,213.34,215.67,48570000,215.67,178.12,174.23,185.67,184.34,122.2,14.45,14.33,191.5,185.3,33.3,6.47,0.065,0.32,3.06e+12,0.036,0.16,0.89,2190,0.031,0.067,1
2020-03-06,AAPL,215.90,217.23,214.78,216.34,50180000,216.34,178.56,174.67,186.23,184.89,122.8,14.66,14.55,192.1,185.9,33.4,6.47,0.065,0.32,3.07e+12,0.043,0.15,0.96,2370,-0.027,0.134,0
